"","BC.r1","BC.r2","BC.r3","Pre.r1","Pre.r2","Pre.r3","Pos.r1","Pos.r2","Pos.r3"
"PHYBL_133028T0",1929.36792592178,2113.84081438145,3894.41413624935,415.442901115576,381.15401160495,258.511318102637,1353.30593202952,1877.14127166843,1647.68997528331
"PHYBL_133030T0",427,238,454,75,81,62,260,260,228
"PHYBL_133033T0",5058,5417,6850,2855,3436,2051,3227,4695,4758
"PHYBL_133035T0",33322.7270004744,37624.6932963145,32709.3440245799,21091.5817762218,21105.3869413167,14988.3548095036,17189.9899810515,13643.7552205192,18119.6339184566
"PHYBL_133059T0",528,808,1109,699,484,837,358,468,774
"PHYBL_133085T0",8744,8428,8287,3938,4527,2510,2235,1616,1910
"PHYBL_133090T0",4267,3980,4191,2474,2676,1985,1417,1233,1072
"PHYBL_133104T0",453,615,628,514,418,521,217,139,261
"PHYBL_133116T0",7992,8121,8135,7655.44097481164,7464.42354981098,6120,6330,5169,6009.45157862764
"PHYBL_133133T0",4021,4702,4554,5445,4095,3882,3562,3199,4009
"PHYBL_133151T0",1116,1618,1780,1669,1163,1585,741,694,998
"PHYBL_133176T0",1063,1242,1672,1123,819,702,794,791,876
"PHYBL_133191T0",1731,1732.61153450825,2227.65003393479,2772,2632.80167227479,1023,37,42,40
"PHYBL_133214T0",974,2508,1982,2912,2193,1694,11,3,16
"PHYBL_133227T0",834,868,1027,2188,1415,1162,650,635,805
"PHYBL_133244T0",3012,3557,3597,10373,7050,8341,4244,3310,4159
"PHYBL_133256T0",1121,1140,1432,2142,1527,1085,775,606,742
"PHYBL_133267T0",356,347,387,451,321,280,228,235,282
"PHYBL_133279T0",929,1317,1451,1246,711,959,2312,1958,2036
"PHYBL_133299T0",657,762,883,1122,816,704,457,399,484
"PHYBL_133304T0",2162,2532,2591,2104,1942,1898,1495,1334,1610
"PHYBL_133315T0",2390,2756,1881,1702,1807,1086,878,531,729
"PHYBL_133318T0",791,764,1275,971,796,723,619,511,577
"PHYBL_133330T0",969,1066,1104,1117,771,772,603,517,604
"PHYBL_133339T0",641,822,779,1065,728,646,275,213,282
"PHYBL_133342T0",1476,1682,1579,2009,1667,1478,1352,948,1036
"PHYBL_133379T0",506,486,586,1632,1021,968,378,283,319
"PHYBL_133407T0",1369,1328,1234,3528,2025,2287,959,442,1092
"PHYBL_133419T0",4131,3262,3382,5487,3411,3490,2568,2470,3525
"PHYBL_133421T0",1263.56149890854,1376.58341284881,1396.22733254353,1634.50930121382,1224.25437673907,1435.63025811816,923.662576486514,727.020544834136,1034.52426222253
"PHYBL_133431T0",1683,2221,2101,1985,1537,1557,968,869,1094
"PHYBL_133446T0",243,276,456,400,228,283,423,459,489
"PHYBL_133457T0",3112,3316,2804,2327,2063,1283,851,514,980
"PHYBL_133474T0",825,857,875,718,486,594,308,269,297
"PHYBL_133482T0",2194,2865,3082,3791,2397,2642,1688,1821,2212
"PHYBL_133485T0",1351,1503,1593,1888,1532,1427,1704,1828,1833
"PHYBL_133554T0",515,608,610,483,374,345,225,158,173
"PHYBL_133556T0",1933,1905,2454,1870,1426,1737,2587,2260,2843
"PHYBL_133571T0",502,698,958,872,515,640,442,484,526
"PHYBL_133579T0",458,554,650,987,523,589,351,320,397
"PHYBL_133587T0",1429,1621,1857,3002,1981,1841,1657,1461,1721
"PHYBL_13358T0",96,68,90,170,105,127,298,216,236
"PHYBL_133605T0",430,546,659,537,376,459,289,274,341
"PHYBL_133628T0",1687,1703,1752,2139,1531,1551,1342,1244,1447
"PHYBL_133661T0",4206.82317640318,4642.12513233397,4878.75290053639,4125.04774154113,3263.18537323228,3126.91362558685,2287.7081590571,2049.14247188305,2531.07768307372
"PHYBL_133670T0",3042,3524,3186,4297,3204,2396,1773,1361,1872
"PHYBL_133692T0",5072,6295,5183,10759,8988,11122,1725,1293,1561
"PHYBL_133726T0",1075,1296,1275,1623,1108,1191,838,803,873
"PHYBL_133744T0",38923.7139214967,43413.7674555741,35693.4416955743,26563.1631240329,23598.6799008874,21995.0725953383,16784.2042478384,12527.2107679667,18161.8932443703
"PHYBL_13374T0",598,699,782,629,489,475,587,471,553
"PHYBL_133752T0",2797,4430,4453,2188,1684,1630,1184,1143,1277
"PHYBL_133761T0",845,885,855,872,687,476,386,300,331
"PHYBL_133770T0",2686,2912,3073,3385,2458,2520,2068,1569,2108
"PHYBL_133789T0",906,1226,1088,4247,3387,3191,1048,603,911
"PHYBL_133839T0",373,453,487,441,334,336,391,347,407
"PHYBL_133851T0",646,675,755,824,573,711,426,338,471
"PHYBL_133861T0",928,985,954,1852,1219,1049,585,467,534
"PHYBL_133863T0",13296,15922,13347,9317,9719,5939,6482,3840,7040
"PHYBL_133879T0",5427,5955,6153,7437,5471,3688,2019,2128,2496
"PHYBL_133882T0",923,1103,1189,1476,985,979,631,387,823
"PHYBL_133889T0",224,225,338,496,283,302,206,178,229
"PHYBL_133910T0",3005.40976205296,3189.2936092422,2231.82880612046,1230.24665411698,1042.70543417523,667.775146899368,332.116488300584,200.751871524854,122.600442410536
"PHYBL_133928T0",2882.63095445065,3662.73742326864,3599.43211269012,3483.59515431878,2831.30165314583,2615.71123006404,2194.34340479388,1738.78802390049,2284.38866956921
"PHYBL_133939T0",896,1343,1395,1742,1747,1229,439,478,617
"PHYBL_133949T0",29380.5238302612,29673,32450.7426576964,28640.6592951811,23039,20556.8539545141,18448,15882,18789
"PHYBL_133951T0",3585,3528,3243,4393,3563,2112,2171,1798,1931
"PHYBL_133959T0",1453,1959,2695,2803,2319,2609,1492,1295,1083
"PHYBL_133964T0",95,158,177,126,99,101,91,119,102
"PHYBL_133976T0",1454,1986,2479,1874,1104,1634,1283,932,1074
"PHYBL_133989T0",21616.0696473258,25002.012647641,25068.8445985743,16593.0540784951,17457.5454535581,12002.0371016741,20520.9028058153,16703.8560636111,18428.9660591181
"PHYBL_134013T0",1935,1790,1745,3754,3135,2265,1402,973,1486
"PHYBL_134039T0",2919,3215,3689,5986,3591,3572,2747,2688,3450
"PHYBL_134043T0",4213,4934,5301,8010,5101,4583,3202,2968,3262
"PHYBL_134049T0",409,605,690,541,391,501,242,216,316
"PHYBL_134066T0",7845,9457,8598,5591,6023,4344,5439,3980,6110
"PHYBL_134077T0",1526,1788,1998,1373,1025,958,477,510,636
"PHYBL_134099T0",910,1141,1134,1290,934,1263,877,890,902
"PHYBL_134106T0",2736,3658,3830,1916,1681,1472,2079,1975,3398
"PHYBL_134112T0",38592.226432107,39062.845573555,35839,29299,36326.6283167618,20996.4824462935,24597,16199.6102111675,19270.5569372315
"PHYBL_134113T0",3844,5104,4928,3415,3058,2817,1930,1824,2122
"PHYBL_134122T0",1106,1203,1232,1268,1130,642,673,528,599
"PHYBL_134125T0",4876,5542,4466,7166,5830,3768,3419,2546,2735
